3974	4	1	32	728.1
1660	5	1	47	361.3
2094	1	3	75	139.7
1930	5	1	58	413.4
1895	5	2	85	318.5
3892	1	2	21	634.8
2438	1	2	29	344.0
2969	1	3	37	457.6
1266	1	1	50	197.9
2038	4	1	53	383.1
1130	3	1	7	356.0
2282	3	3	26	440.8
2935	1	2	26	591.7
3971	3	2	97	606.8
3719	3	1	20	746.0
930	1	2	29	203.9
2485	3	2	96	295.5
1569	5	3	27	516.5
3191	2	3	63	532.1
2315	2	3	96	217.8
3653	1	3	68	461.7
3233	4	1	60	451.5
2015	1	3	47	262.7
1755	4	2	18	552.3
3124	2	1	3	572.9
1984	1	2	34	289.7
1259	5	2	63	325.7
821	3	2	48	108.5
3100	4	3	16	754.3
1547	3	3	43	406.4
3704	3	1	91	481.5
1274	1	1	29	266.7
1882	3	3	92	180.0
3358	5	2	45	770.9
2847	3	1	5	555.5
3547	1	3	98	314.1
1775	5	3	36	486.4
2606	2	3	23	605.5
989	3	2	92	81.4
3805	1	3	45	529.1
3534	2	3	52	499.4
3805	2	3	94	473.5
1362	4	3	98	100.6
2699	5	1	59	442.8
2067	3	1	96	279.2
3679	1	3	62	572.0
2328	4	2	84	350.8
1446	5	1	31	380.6
2868	4	3	86	465.1
3688	5	1	32	854.6
3014	5	1	66	554.3
2097	3	2	17	519.0
3235	5	3	24	743.1
1400	4	3	94	221.0
3163	5	2	53	657.8
2861	3	2	57	474.5
1041	3	3	66	103.3
2841	4	3	45	645.2
3624	2	2	23	603.8
3412	2	1	31	654.4
3745	5	1	46	738.1
2163	1	2	85	183.0
2939	5	1	22	676.8
2190	4	2	65	388.1
3803	4	1	26	698.1
2278	4	1	1	579.1
3356	4	3	89	570.6
1575	4	3	16	455.0
834	3	1	32	178.0
3053	2	1	8	546.2
3952	4	3	42	804.4
2755	1	3	47	484.9
2385	1	3	38	401.9
3873	1	2	92	444.0
1821	1	1	41	198.7
3413	3	3	25	720.8
1929	1	1	98	102.9
2300	4	2	49	422.5
1502	5	2	24	373.9
3249	1	3	23	497.3
3577	3	2	12	677.1
2379	3	1	59	417.9
961	1	3	6	343.8
1001	5	1	56	240.2
2781	1	1	35	371.8
1795	3	2	44	360.3
3117	2	2	19	571.2
1615	4	2	64	356.8
1255	3	2	7	351.1
2075	1	2	15	423.7
1816	4	3	13	511.4
3143	1	1	75	369.1
3567	1	1	86	343.5
1137	2	1	14	227.9
1678	4	1	91	304.3
1876	4	2	97	303.7
1591	2	1	65	84.0
3064	3	3	31	584.3
1563	1	3	86	176.7
3035	5	1	62	489.4
